店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
icDdwj0r8Wi0dkKs,Kyochon1991校村(共和路店),2694条评价,￥57,韩式小吃,上海火车站/客运汽车总站,https://www.dianping.com/shop/icDdwj0r8Wi0dkKs,https://p0.meituan.net/biztone/04fab35ce78ab9a4cc987641de243fdf128619.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
jCwTI36yK9Voz9Bk,HONGA HONGA雄家(曹路店),3337条评价,￥73,韩国料理,曹路,https://www.dianping.com/shop/jCwTI36yK9Voz9Bk,http://p0.meituan.net/merchant/7b68bbeae39e46d757e6a3a64f994d72266230.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
G2tTvZzD8XV5Lcqs,啊撒啊撒아싸아싸(韩国街店),1123条评价,￥99,韩国料理,虹桥镇,https://www.dianping.com/shop/G2tTvZzD8XV5Lcqs,https://p0.meituan.net/biztone/8ccdb5a43d529b5ef6fa4eed59f1c522183457.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6oc19mehtO40UPf,正谈炸鸡(上海首店),1003条评价,￥57,炸鸡炸串,西藏南路/世博会馆,https://www.dianping.com/shop/k6oc19mehtO40UPf,https://p1.meituan.net/poiugc/7738332db4f558b43d98d338179e9267339985.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k3sBPjXF52PysNhk,祚炸鸡炒年糕·韩国料理(国定路店),226条评价,￥63,韩国料理,五角场/大学路,https://www.dianping.com/shop/k3sBPjXF52PysNhk,https://p0.meituan.net/biztone/006aa86405dc714f171426023108d275388052.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H3wZxLdBbMjmPsWg,蒋姨炸鸡,30条评价,￥31,炸鸡炸串,陈家镇,https://www.dianping.com/shop/H3wZxLdBbMjmPsWg,https://p0.meituan.net/biztone/ed06a78b77bda798a63ae10cc477ae53384774.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l2ytxwCT2sTR8qik,正谈炸鸡(普陀环宇城店),79条评价,￥55,炸鸡炸串,真如,https://www.dianping.com/shop/l2ytxwCT2sTR8qik,https://p0.meituan.net/poiugc/76d0765be7c00dda5d16eb5158efd0a1261991.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
jBo44b3jhMfKLy6u,正豪大大雞排(新世界城店),1309条评价,￥26,炸鸡炸串,人民广场/南京路,https://www.dianping.com/shop/jBo44b3jhMfKLy6u,https://img.meituan.net/msmerchant/5a69ad9289f23b7f2b688f09a0438ea0614133.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
HasUNpOo2I4ajMvp,正谈炸鸡(浦东福山荟店),91条评价,￥55,炸鸡炸串,陆家嘴,https://www.dianping.com/shop/HasUNpOo2I4ajMvp,https://p0.meituan.net/biztone/339bb7886d82adc7338322f28f86e98c100405.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l9O4aJy2xuNZt41c,唯世炸鸡유세치킨(天山路店),77条评价,￥49,炸鸡炸串,天山,https://www.dianping.com/shop/l9O4aJy2xuNZt41c,https://p0.meituan.net/biztone/9c534da7cc2ef5adc1e1cabbdce5ae8f396390.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3rhNeMq08MnXFj6,CITY MART城市集市(合生汇店),751条评价,￥51,超市便利,五角场/大学路,https://www.dianping.com/shop/l3rhNeMq08MnXFj6,https://img.meituan.net/content/0fda650da0657c61ed5afd1bc87a968076617.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k37XhakJ53KGbLVo,1973继光香香鸡(崇明名岛生活广场店),14条评价,￥31,炸鸡炸串,陈家镇,https://www.dianping.com/shop/k37XhakJ53KGbLVo,https://img.meituan.net/content/b60a8e94cd7f0fc95f47b8ec331ab74b224445.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k91GALkv6NDsWgHU,Kyochon 1991校村炸鸡(大宁音乐广场店),111条评价,￥49,炸鸡炸串,大宁地区,https://www.dianping.com/shop/k91GALkv6NDsWgHU,https://p0.meituan.net/biztone/4412333e19880feef5b0e6edb1b5150b67356.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
Gaz9iX5IJoautQlo,Shake Shack(上海新天地店),34369条评价,￥83,西式快餐,淮海路,https://www.dianping.com/shop/Gaz9iX5IJoautQlo,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k4el5FGhLEJ9BMpz,弄堂炸鸡,14条评价,￥24,炸鸡炸串,马陆镇,https://www.dianping.com/shop/k4el5FGhLEJ9BMpz,https://p0.meituan.net/biztone/08e1b19e9c71ab86f221cfd3f4786b39931673.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k8aReduso6KLTw10,Kyochon1991校村炸鸡(华润时代广场店),202条评价,￥52,炸鸡炸串,陆家嘴,https://www.dianping.com/shop/k8aReduso6KLTw10,https://img.meituan.net/content/d9f42cf516eeeeac4bdbfa5f0f99c290150072.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7oeKvdQvJUv46Ng,Kyochon1991校村(五角场店),951条评价,￥56,炸鸡炸串,五角场/大学路,https://www.dianping.com/shop/l7oeKvdQvJUv46Ng,https://p0.meituan.net/biztone/cc32acc3d8a182169692ad268d119d4c127735.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H44hcow67jnnxPVV,旧闻炸鸡(南京西路店),32条评价,￥22,炸鸡炸串,南京西路,https://www.dianping.com/shop/H44hcow67jnnxPVV,https://p0.meituan.net/biztone/2e221aa019e267c385376d456d35f33d207612.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
HaTprEthxwydYDeQ,啊撒啊撒(九亭店),1310条评价,￥94,韩国料理,九亭,https://www.dianping.com/shop/HaTprEthxwydYDeQ,https://p0.meituan.net/biztone/720768b9b6d27815d0053c7d4a438aa5207537.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
EU2AuxuvqoLMOyUT,bb·q chicken比比客(大学城店),157条评价,￥31,韩式小吃,松江大学城,https://www.dianping.com/shop/EU2AuxuvqoLMOyUT,https://p0.meituan.net/biztone/8918496fa3750c346dce5213a3f80ed3384169.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H9lwhC5c8WRpcn0r,AK28炸鸡SINCE1996(嘉定店),3条评价,￥36,炸鸡炸串,博乐广场/州桥老街,https://www.dianping.com/shop/H9lwhC5c8WRpcn0r,https://img.meituan.net/content/9a6b8f6ce2d3d688f9a8b0e7ae81ffff223568.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
HaIsrAvdWVQgy8ND,侠晨鸡腿(弘基广场店),513条评价,￥14,炸鸡炸串,上海大学,https://www.dianping.com/shop/HaIsrAvdWVQgy8ND,https://p0.meituan.net/poiugc/f1bc92c3404b75a37f7b2d4ddb46dd36672963.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6fIT5eJGK1FdFeU,Popeyes炸鸡·汉堡·奶昔(浦东机场店),46条评价,￥40,西式快餐,浦东机场/机场镇,https://www.dianping.com/shop/k6fIT5eJGK1FdFeU,https://p0.meituan.net/biztone/a5a2e1daf9fef10dadb9f2978cfabb4b135550.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k53TqbCR1iYtTBCj,kyochon1991校村(天山路店),2555条评价,￥54,炸鸡炸串,天山,https://www.dianping.com/shop/k53TqbCR1iYtTBCj,https://p0.meituan.net/biztone/04fab35ce78ab9a4cc987641de243fdf128619.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4YdsWBWYAwofNWF,Shake Shack(国金中心店),10781条评价,￥77,西式快餐,陆家嘴,https://www.dianping.com/shop/l4YdsWBWYAwofNWF,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H8ZNtpodjH08Jcrj,WOW LUCKY创意韩料(环球港店),11504条评价,￥95,韩国料理,月星环球港,https://www.dianping.com/shop/H8ZNtpodjH08Jcrj,https://img.meituan.net/content/857603e3ffe5a3da9027ea6db53a46b6120471.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7f7uuPjd2F8L5Ky,李先生的首尔小馆,285条评价,￥50,韩国料理,老闵行/交大师大,https://www.dianping.com/shop/l7f7uuPjd2F8L5Ky,http://p1.meituan.net/biztone/1424472647_1641669028478.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G1Djx2snAhjYAM4e,美毕姐·三杯鸡·台湾小食(城市集市上海荟聚店),224条评价,￥29,台湾菜,北新泾/淞虹路,https://www.dianping.com/shop/G1Djx2snAhjYAM4e,http://p0.meituan.net/merchant/22dfb582415a24482214a2c6f7fa9bff399312.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
EVqFlh0FWPJXj5RN,啊撒啊撒아싸아싸(曼度泛乐城店),1319条评价,￥88,韩国料理,安亭嘉亭荟,https://www.dianping.com/shop/EVqFlh0FWPJXj5RN,https://p0.meituan.net/biztone/033cb73e8f9d4aac1c769a247a05426f202004.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
iIkPEXTqbmc6qVS0,Kyochon1991校村炸鸡(大融城店),514条评价,￥56,炸鸡炸串,北新泾/淞虹路,https://www.dianping.com/shop/iIkPEXTqbmc6qVS0,https://img.meituan.net/content/d9f42cf516eeeeac4bdbfa5f0f99c290150072.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G1knauUkwMQ684Zu,临榆炸鸡腿(松江大学城店),128条评价,￥13,炸鸡炸串,松江大学城,https://www.dianping.com/shop/G1knauUkwMQ684Zu,https://img.meituan.net/content/e81259b7c66f63cc32fcac2e743cb3d6177555.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8MEooTN0EuP0iHd,bb·q chicken比比客(古北店),779条评价,￥54,韩式小吃,虹桥镇,https://www.dianping.com/shop/l8MEooTN0EuP0iHd,https://p0.meituan.net/biztone/d0d420df2f6b714136a64310e782a7f886157.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
laLJ1cLKr7ekEWwC,Putoto·薯条专营店(上海南翔印象城店),2697条评价,￥32,西式快餐,南翔,https://www.dianping.com/shop/laLJ1cLKr7ekEWwC,https://img.meituan.net/content/9657280cb89b0a35f9fe2f6175126f7f19599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k1ZpuJdiyP4uh313,来食耐食·RICE NICE·라이스나이스(虹口龙之梦店),332条评价,￥72,韩国料理,虹口龙之梦,https://www.dianping.com/shop/k1ZpuJdiyP4uh313,https://p0.meituan.net/biztone/79270f5d90dc3bb9858b8f7c835dfcbf309669.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
l8JhyEyYGC4kjKJE,bluefrog蓝蛙(迪士尼小镇店),16226条评价,￥139,西餐,迪士尼,https://www.dianping.com/shop/l8JhyEyYGC4kjKJE,https://img.meituan.net/content/c14847b31f011d9d94d66c46238b3a0b365605.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G6jwQiZAlTkRW8W0,Kyochon1991校村炸鸡(杨高中路店),2455条评价,￥56,韩式小吃,洋泾,https://www.dianping.com/shop/G6jwQiZAlTkRW8W0,https://p0.meituan.net/biztone/04fab35ce78ab9a4cc987641de243fdf128619.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5a760vtmgVc3LGz,Shake Shack(港汇恒隆店),8007条评价,￥76,西式快餐,徐家汇,https://www.dianping.com/shop/G5a760vtmgVc3LGz,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l5FUChvSxmepolAE,Popeyes炸鸡·汉堡·奶昔(金桥国际店),1272条评价,￥48,西式快餐,金杨地区,https://www.dianping.com/shop/l5FUChvSxmepolAE,https://img.meituan.net/content/e25f445d71647fe4651fbd5f59f59be6202933.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k1CJiTqnXVNgvD8q,阿華炸猪排(大华店),2225条评价,￥23,炸鸡炸串,大华地区,https://www.dianping.com/shop/k1CJiTqnXVNgvD8q,http://p0.meituan.net/poipicadd/4e7284bbc6773b26aa835b1346663f90259584.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
GaxqfjE5ZmqMyb61,老韩煸鸡,5条评价,￥32,炸鸡炸串,南门,https://www.dianping.com/shop/GaxqfjE5ZmqMyb61,https://img.meituan.net/content/63ee7d11d09075ef63486e9b3f2ecbbd117388.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l25MQkdfFFWLWsWU,肯德基(陈家镇店),390条评价,￥34,西式快餐,陈家镇,https://www.dianping.com/shop/l25MQkdfFFWLWsWU,https://img.meituan.net/content/8f02992369bb7f936573885dbc553976108312.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k3P9sUYXlznAp0O2,bluefrog蓝蛙(瑞虹天地月亮湾店),3652条评价,￥122,西餐,临平路/和平公园,https://www.dianping.com/shop/k3P9sUYXlznAp0O2,https://img.meituan.net/content/c14847b31f011d9d94d66c46238b3a0b365605.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
l2jFXL21qwP5jSZ9,大可炸鸡,-,￥0,炸鸡炸串,张江,https://www.dianping.com/shop/l2jFXL21qwP5jSZ9,http://p0.meituan.net/poipicadd/7e4531d26088b97a33cf3f78c1fb18ea846851.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
l1Hs7nis5Cpl4IIO,Kyochon1991校村炸鸡(真华路店),1315条评价,￥49,炸鸡炸串,大华地区,https://www.dianping.com/shop/l1Hs7nis5Cpl4IIO,https://img.meituan.net/content/d9f42cf516eeeeac4bdbfa5f0f99c290150072.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H5uv0mCea1fVi8cT,啊撒啊撒아싸아싸(久光中心店),1165条评价,￥102,韩国料理,大宁地区,https://www.dianping.com/shop/H5uv0mCea1fVi8cT,https://p0.meituan.net/biztone/4bc637bd39a92878fc956f5658d6811a208353.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G9Mp1Mi4zlkQ7dem,满巍明生炸鸡架(宝杨宝龙店),188条评价,￥27,小吃快餐,宝山城区/吴淞,https://www.dianping.com/shop/G9Mp1Mi4zlkQ7dem,https://p0.meituan.net/biztone/aee05ee70cc42a3a96257ce7e7fe3447942676.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6sUyi6xa0mUZvl0,HanBang韩式炸鸡·火鸡面(江镇店),-,￥25,炸鸡炸串,浦东新区,https://www.dianping.com/shop/k6sUyi6xa0mUZvl0,https://p0.meituan.net/biztone/c39ba223e92823b41d130833a0f7f4aa433224.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
H5ocEl4hdyigw5Ku,满巍明生炸鸡架(吴泾宝龙广场店),152条评价,￥25,其他美食,老闵行/交大师大,https://www.dianping.com/shop/H5ocEl4hdyigw5Ku,https://p0.meituan.net/biztone/aee05ee70cc42a3a96257ce7e7fe3447942676.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaB35DD5bSZq0fdW,哥哥の深夜食堂(三钢里店),1796条评价,￥108,日本料理,上南地区,https://www.dianping.com/shop/GaB35DD5bSZq0fdW,http://p0.meituan.net/merchant/a2d707a6fcb74cd84a48c7833d0aa8df131633.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
EfY7etmXpX3gD1Xf,上南香酥鸡,1条评价,￥18,炸鸡炸串,康桥/周浦,https://www.dianping.com/shop/EfY7etmXpX3gD1Xf,http://p0.meituan.net/poipicadd/ad0f3ae0b60d68c2ae2fe96b81bf3d32217186.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
H8zkqvbtfqSXkB0i,哥哥の深夜食堂(中庚漫游城店),533条评价,￥107,日本料理,莲花路/南方商城,https://www.dianping.com/shop/H8zkqvbtfqSXkB0i,https://p0.meituan.net/biztone/f6260604add256ce2f0c062e8563cc1b84965.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
G2lt39A8CYpo3jto,food place(金沙路店),2600条评价,￥107,西餐,嘉定镇,https://www.dianping.com/shop/G2lt39A8CYpo3jto,https://img.meituan.net/msmerchant/8fc72d98770548afe8d815a3cd46b14423485.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G369cmEetiqsU895,YUMMY韩式炸鸡(长宁路店),1条评价,￥24,炸鸡炸串,长风公园/华师大,https://www.dianping.com/shop/G369cmEetiqsU895,http://p1.meituan.net/searchscenerec/268fcf0cf9da6ee9de81082cd414d859167595.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
l6YBfAEb428JYw4f,望晨山·炸鸡茶铺(复兴中路店),238条评价,￥22,炸鸡炸串,音乐学院/五官科医院,https://www.dianping.com/shop/l6YBfAEb428JYw4f,https://p0.meituan.net/biztone/37814bf0cfb0a95f77afd44faa0714cd315173.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l13Iq8Oh5oqIjpAE,倍乐芝(上海首店),410条评价,￥38,西式快餐,龙柏地区,https://www.dianping.com/shop/l13Iq8Oh5oqIjpAE,https://p0.meituan.net/biztone/c1ece2895029bac7df5998df2485deb5181090.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H791BR7bwlWLejVs,屋塔饮食,55条评价,￥55,韩式小吃,嘉定镇,https://www.dianping.com/shop/H791BR7bwlWLejVs,https://p0.meituan.net/biztone/d234f8a4381a3eae18d605f3eb1faa9c1139083.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7SMxbu6gvsHFbDW,Tock's(丰盛里店),1591条评价,￥73,西餐,南京西路,https://www.dianping.com/shop/l7SMxbu6gvsHFbDW,http://p0.meituan.net/biztone/171877965_1700645241855.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H9mExNxFc9lL10kk,盒马NB(崇明陈家镇店),36条评价,￥114,超市便利,陈家镇,https://www.dianping.com/shop/H9mExNxFc9lL10kk,http://p0.meituan.net/dpmerchantpic/53d38c3f7b3a868b7eb0c2e4bb6bb14992427.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l8A1Fe8moJT7yzgh,Shake Shack(静安嘉里中心店),17815条评价,￥78,西式快餐,南京西路,https://www.dianping.com/shop/l8A1Fe8moJT7yzgh,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7MRFrTKzGM356G3,Shake Shack(长宁来福士店),1634条评价,￥61,西式快餐,中山公园/江苏路,https://www.dianping.com/shop/H7MRFrTKzGM356G3,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G9g9KRDSAXFaQCGm,超级鸡车(宝山宝乐汇店),14条评价,￥27,炸鸡炸串,宝山城区/吴淞,https://www.dianping.com/shop/G9g9KRDSAXFaQCGm,https://img.meituan.net/content/eccf1cf20eb96ea9dbbe96679af0331d87837.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l1LMj3m9Yif1vnYV,TSOO听说过· 韩料요리(虹桥天地店),6926条评价,￥80,韩国料理,虹桥火车站/国展中心,https://www.dianping.com/shop/l1LMj3m9Yif1vnYV,https://img.meituan.net/content/52d9af15aedbf893a7d4514f8d7004a7556145.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G9Q5oUjVPpdMeu8g,LOKAL(北外滩来福士店),3133条评价,￥98,西餐,北外滩/外白渡桥,https://www.dianping.com/shop/G9Q5oUjVPpdMeu8g,https://p0.meituan.net/biztone/9fd065c95e92b820ff4ef50dfa7888f5455975.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
Ga1V9SMo87UWHQnc,飞叔生炸鸡架(上海汇融天地店),2条评价,￥22,小吃快餐,武宁地区,https://www.dianping.com/shop/Ga1V9SMo87UWHQnc,http://p0.meituan.net/poipicadd/b34210ee59a4d6c735f0d4d55f72f03e274964.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G3mII7BbpMkYFiFi,哥哥の深夜食堂(安亭财富广场店),737条评价,￥105,日本料理,安亭镇,https://www.dianping.com/shop/G3mII7BbpMkYFiFi,http://p1.meituan.net/merchant/8cc700fcc0896e9363155610c10954eb82720.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k68BFqZCBPn2mUgL,HWARANG火浪 by元爱本家·铁板韩食(长寿路店),422条评价,￥125,韩国料理,长寿路,https://www.dianping.com/shop/k68BFqZCBPn2mUgL,https://img.meituan.net/content/47c8b32ebbf78310a94bba87f86f5e1d91295.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
l5gp2asrmE2uREpQ,哥哥の深夜食堂(田尚坊店),1630条评价,￥110,日本料理,漕河泾/田林,https://www.dianping.com/shop/l5gp2asrmE2uREpQ,http://p0.meituan.net/merchant/a2d707a6fcb74cd84a48c7833d0aa8df131633.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
